2026/01/11 18:47:59 SNAPSHOT: loaded ./data/graph_snapshot.json (nodes=1726 edges=2578 saved_at=2026-01-11T23:35:43Z)
2026/01/11 18:47:59 ingest listening on :8080
2026/01/11 18:48:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
nodes: 1726 edges: 2578
2026/01/11 18:48:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:49 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:54 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:48:59 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:49 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:54 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:49:59 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:49 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:54 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:50:59 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:49 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:54 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:51:59 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:49 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:54 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:52:59 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:49 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:54 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:53:59 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:49 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:54 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:54:59 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:49 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:54 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:55:59 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:49 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:54 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:56:59 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:57:04 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:57:09 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:57:14 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:57:19 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:57:24 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:57:29 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:57:34 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:57:39 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
2026/01/11 18:57:44 SNAPSHOT: saved (nodes=1726 edges=2578) -> ./data/graph_snapshot.json
